,Log.Median.Scalar.Body,Log.Median.Scalar.Brain,Group,Taxa.List
123,6.331468605,2.522064556,Mesozoic,"Agriochoerus_sp.,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Claenodon_ferox,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Eotylopus_sp.,Heptodon_posticus,Homacodon_vagans,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Leptotragulus_sp.,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Mouillacitherium_elegans,Notostylops_murinus,Oldfieldthomasia_debilitata,Oxacron_sp.,Palaeosyops_robustus,Phenacodus_primaevus,Phenacodus_wortmani,Pleuraspidotherium_aumonieri,Protoreodon_petersoni,Protylopus_sp.,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Tapirulus_hyracinus,Tetraclaenodon_pliciferus,Xenicohippus_sp.,Zygorhiza_kochii"
124,6.493666013,3.623018873,Internal,"Amynodon_advenus,Heptodon_posticus,Hyrachyus_modestus,Xenicohippus_osborni,Mesatirhinus_junius,Palaeosyops_robustus,Xenicohippus_sp."
125,6.635321925,3.707268317,Paleocene,"Amynodon_advenus,Heptodon_posticus,Hyrachyus_modestus"
126,7.269567871,3.842578494,Eocene crown groups,"Amynodon_advenus,Hyrachyus_modestus"
127,7.694968553,4.02030948,Eocene crown groups,Amynodon_advenus
128,7.270307662,3.841089872,Eocene crown groups,Hyrachyus_modestus
129,6.636660703,-3.708511538,Eocene crown groups,Heptodon_posticus
130,7.755691035,3.923343578,Internal,"Mesatirhinus_junius,Palaeosyops_robustus"
131,6.975729223,3.759697985,Eocene crown groups,Palaeosyops_robustus
132,6.967640308,3.75621372,Eocene crown groups,Mesatirhinus_junius
133,6.498053503,-3.623018873,Paleocene,"Xenicohippus_osborni,Xenicohippus_sp."
134,6.495242131,3.618718825,Eocene crown groups,Xenicohippus_sp.
135,-6.496197011,-3.619753613,Eocene crown groups,Xenicohippus_osborni
136,6.322172123,2.512853723,Mesozoic,"Meniscotherium_chamense,Phenacodus_primaevus,Phenacodus_wortmani,Tetraclaenodon_pliciferus"
137,6.325861147,2.519597482,Mesozoic,"Phenacodus_primaevus,Phenacodus_wortmani,Tetraclaenodon_pliciferus"
138,-6.324674163,-2.520033066,Paleocene,Tetraclaenodon_pliciferus
139,6.327277924,2.526314548,Paleocene,"Phenacodus_primaevus,Phenacodus_wortmani"
140,6.330369104,2.52948053,Eocene stem groups,Phenacodus_primaevus
141,-6.327137975,2.521818828,Eocene stem groups,Phenacodus_wortmani
142,6.321040669,2.511819849,Eocene stem groups,Meniscotherium_chamense
143,6.32786448,2.517811298,Internal,"Notostylops_murinus,Oldfieldthomasia_debilitata,Rhyphodon_lankesteri"
144,6.328845668,2.518793145,Eocene stem groups,Notostylops_murinus
145,-6.340768695,2.530153147,Eocene stem groups,"Oldfieldthomasia_debilitata,Rhyphodon_lankesteri"
146,6.357636013,2.547126745,Eocene stem groups,Rhyphodon_lankesteri
147,-6.347575894,-2.535347096,Eocene stem groups,Oldfieldthomasia_debilitata
148,6.322196134,2.51067728,Paleocene,Pleuraspidotherium_aumonieri
149,-6.299998208,-2.500044302,Internal,"Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus"
150,-6.30027119,-2.499767983,Eocene stem groups,Hyopsodus_miticulus
151,-6.299195447,-2.499251103,Eocene stem groups,Hyopsodus_lepidus
152,6.29916384,2.499201165,Eocene stem groups,Hyopsodus_paulus
