Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
114,5,1.828288,64971,64.971,4.232431,3.861011,1.320234,21.681429,0.000676,0.000501,0.000522,0.001085,0.008792,0.002531,0.000605,0.068701,0.001236,0.000916,0.000954,0.001984,"Coryphodon_elephantopus,Coryphodon_hamatus,Leptolambda_schmidti,Pantolambda_bathmodon,Titanoides_primaevus"
115,3,1.579494,65532,65.532,4.294989,7.116152,1.367465,31.222919,0.000686,0.000492,0.000523,0.001279,0.007596,0.002186,0.000523,0.059352,0.001083,0.000776,0.000826,0.00202,"Leptolambda_schmidti,Pantolambda_bathmodon,Titanoides_primaevus"
116,2,1.242842,65859,65.859,4.447389,15.202834,1.322633,71.873733,0.000656,0.000522,0.000521,0.001002,0.005977,0.00172,0.000411,0.046702,0.000815,0.000649,0.000648,0.001246,"Leptolambda_schmidti,Pantolambda_bathmodon"
117,1,1.064755,65792,65.792,4.234238,5.377647,1.310877,36.550915,0.000647,0.000491,0.000521,0.001155,0.00512,0.001474,0.000352,0.04001,0.000689,0.000523,0.000555,0.00123,Pantolambda_bathmodon
118,1,6.687779,65486,65.486,3.787945,0.84848,1.236186,17.368103,0.000608,0.000566,0.000519,0.001022,0.032162,0.009257,0.002214,0.251304,0.004067,0.003786,0.003471,0.006834,Leptolambda_schmidti
119,1,4.425082,65588,65.588,4.541912,20.75494,1.401918,77.107792,0.000681,0.000569,0.000524,0.001335,0.02128,0.006125,0.001465,0.16628,0.003013,0.002519,0.002319,0.005907,Titanoides_primaevus
120,2,6.602214,64945,64.945,3.788843,1.258032,1.152869,18.632132,0.000601,0.000501,0.000518,0.00082,0.03175,0.009139,0.002185,0.248089,0.003966,0.003309,0.003419,0.005414,"Coryphodon_elephantopus,Coryphodon_hamatus"
121,1,5.850662,64941,64.941,3.727074,0.854736,1.1453,17.222233,0.000598,0.000502,0.000518,0.000788,0.028136,0.008098,0.001937,0.219848,0.003497,0.00294,0.00303,0.004611,Coryphodon_elephantopus
122,1,4.897539,64996,64.996,3.827457,4.233459,1.155799,20.198006,0.000607,0.000488,0.000518,0.001041,0.023553,0.006779,0.001621,0.184033,0.002973,0.002389,0.002537,0.005097,Coryphodon_hamatus
123,50,1.383618,64478,64.478,4.581679,11.193369,1.413838,43.778211,0.000714,0.000516,0.000526,0.001255,0.006654,0.001915,0.000458,0.051992,0.000988,0.000715,0.000728,0.001736,"Agriochoerus_sp.,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Claenodon_ferox,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Eotylopus_sp.,Heptodon_posticus,Homacodon_vagans,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Leptotragulus_sp.,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Mouillacitherium_elegans,Notostylops_murinus,Oldfieldthomasia_debilitata,Oxacron_sp.,Palaeosyops_robustus,Phenacodus_primaevus,Phenacodus_wortmani,Pleuraspidotherium_aumonieri,Protoreodon_petersoni,Protylopus_sp.,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Tapirulus_hyracinus,Tetraclaenodon_pliciferus,Xenicohippus_sp.,Zygorhiza_kochii"
124,7,11.98925,65131,65.131,4.244708,11.120675,1.24241,43.65241,0.000656,0.000483,0.000521,0.001053,0.057657,0.016595,0.003968,0.450516,0.007861,0.005794,0.006245,0.012619,"Amynodon_advenus,Heptodon_posticus,Hyrachyus_modestus,Xenicohippus_osborni,Mesatirhinus_junius,Palaeosyops_robustus,Xenicohippus_sp."
125,3,6.369001,65747,65.747,3.799239,0.865377,1.006577,18.562333,0.000603,0.000515,0.000515,0.00091,0.030629,0.008816,0.002108,0.239326,0.003842,0.003281,0.00328,0.005799,"Amynodon_advenus,Heptodon_posticus,Hyrachyus_modestus"
126,2,3.961349,66268,66.268,3.763998,0.868703,1,18.296772,0.000604,0.000527,0.000514,0.001103,0.01905,0.005483,0.001311,0.148854,0.002392,0.002089,0.002035,0.004369,"Amynodon_advenus,Hyrachyus_modestus"
127,1,7.176777,66109,66.109,3.847499,11.94678,1,48.970856,0.000578,0.000516,0.000513,0.000838,0.034514,0.009934,0.002376,0.269679,0.004149,0.0037,0.00368,0.006014,Amynodon_advenus
128,1,3.29594,66226,66.226,3.691051,0.871946,1,17.327191,0.000592,0.000492,0.000513,0.000836,0.01585,0.004562,0.001091,0.12385,0.00195,0.00162,0.001691,0.002757,Hyrachyus_modestus
129,1,3.623746,65603,65.603,3.699807,0.962119,1,19.292188,0.000588,0.000536,0.000513,0.000885,0.017427,0.005016,0.001199,0.136168,0.002132,0.001943,0.00186,0.003205,Heptodon_posticus
130,2,8.320096,64916,64.916,3.733016,0.859934,1.075931,18.038361,0.000592,0.000524,0.000516,0.000803,0.040012,0.011516,0.002754,0.312641,0.004924,0.004356,0.004296,0.006677,"Mesatirhinus_junius,Palaeosyops_robustus"
131,1,5.97064,64909,64.909,3.676819,0.861665,1.068952,17.196798,0.000586,0.000486,0.000516,0.000739,0.028713,0.008264,0.001976,0.224357,0.0035,0.002902,0.003081,0.004412,Palaeosyops_robustus
