Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
10,47,12.824683,10854,10.854,1.235565,0.862325,1,2.099658,0.013926,0.008748,0.010762,0.021437,0.180028,0.11948,0.137686,0.294327,0.178592,0.112187,0.138019,0.274918,"Acmeodon_secans,Adapis_parisiensis,Anisonchus_sectorus,Arctocyon_primaevus,Baioconodon_denverensis,Chriacus_baldwini,Chriacus_pelvidens,Claenodon_ferox,Conacodon_entoconus,Diacodexis_ilicis,Ectoconus_ditrigonus,Goniacodon_levisanus,Hyopsodus_lepidus,Hyopsodus_paulus,Leptictis_sp.,Loxolophus_hyattianus,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Mioclaenus_turgidus,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Orthaspidotherium_edwardsi,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Rapamys_atramontis,Reithroparamys_delicatissimus,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Tetraclaenodon_puercensis,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
11,1,43.014051,10436,10.436,1.215723,1.00292,1,1.786906,0.013745,0.00854,0.010778,0.019257,0.603815,0.400737,0.461799,0.987176,0.591215,0.36734,0.463605,0.828315,Leptictis_sp.
12,1,16.934163,20692,20.692,2.433746,0.931346,1,5.273905,0.022668,0.008885,0.012115,0.038499,0.237715,0.157766,0.181805,0.38864,0.383861,0.150467,0.205157,0.651952,Onychodectes_tisonensis
13,45,2.286825,14174,14.174,1.458605,0.987646,1,3.21082,0.015583,0.008168,0.010762,0.027732,0.032102,0.021305,0.024551,0.052483,0.035635,0.018679,0.024611,0.063419,"Acmeodon_secans,Adapis_parisiensis,Anisonchus_sectorus,Arctocyon_primaevus,Baioconodon_denverensis,Chriacus_baldwini,Chriacus_pelvidens,Claenodon_ferox,Conacodon_entoconus,Diacodexis_ilicis,Ectoconus_ditrigonus,Goniacodon_levisanus,Hyopsodus_lepidus,Hyopsodus_paulus,Loxolophus_hyattianus,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Mioclaenus_turgidus,Necrolemur_antiquus,Notharctus_tenebrosus,Oodectes_herpestoides,Orthaspidotherium_edwardsi,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Rapamys_atramontis,Reithroparamys_delicatissimus,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Tetraclaenodon_puercensis,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
14,14,7.970107,20950,20.95,1.876223,1.142413,1,5.835489,0.019395,0.00813,0.010882,0.037176,0.111881,0.074253,0.085567,0.182915,0.154578,0.064799,0.086731,0.296299,"Adapis_parisiensis,Microchoerus_erinaceus,Necrolemur_antiquus,Notharctus_tenebrosus,Paramys_copei,Paramys_delicatus,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Rapamys_atramontis,Reithroparamys_delicatissimus,Rooneyia_viejaensis,Smilodectes_gracilis"
15,8,10.267947,18396,18.396,1.299447,1.002638,1,2.484232,0.014045,0.008447,0.010352,0.02371,0.144138,0.09566,0.110237,0.23565,0.144216,0.086731,0.106294,0.243454,"Paramys_copei,Paramys_delicatus,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Rapamys_atramontis,Reithroparamys_delicatissimus"
16,6,3.534833,18635,18.635,1.145279,0.950633,1,1.803876,0.01256,0.007854,0.010148,0.018792,0.049621,0.032932,0.03795,0.081125,0.044397,0.027763,0.035871,0.066425,"Paramys_copei,Paramys_delicatus,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni"
17,2,3.174097,20027,20.027,1.162818,1.091614,1,2.388568,0.012809,0.012727,0.010152,0.030651,0.044557,0.029571,0.034077,0.072846,0.040656,0.040396,0.032224,0.097289,"Paramys_copei,Paramys_delicatus"
18,1,2.409779,19970,19.97,1.155486,0.992655,1,1.898224,0.012654,0.00782,0.010153,0.019481,0.033828,0.022451,0.025871,0.055305,0.030494,0.018845,0.024468,0.046945,Paramys_copei
19,1,6.01576,19605,19.605,1.115376,1.00755,1,1.580152,0.012252,0.007865,0.010126,0.016975,0.084447,0.056045,0.064585,0.138062,0.073707,0.047313,0.060916,0.102119,Paramys_delicatus
20,4,3.348207,20331,20.331,1.202937,1.04601,1,2.233642,0.013186,0.007419,0.010195,0.023383,0.047001,0.031193,0.035946,0.076842,0.04415,0.02484,0.034135,0.078291,"Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni"
21,1,5.848942,19126,19.126,1.112437,1.080222,1,1.609314,0.012184,0.008096,0.010144,0.016165,0.082105,0.054491,0.062794,0.134234,0.071264,0.047356,0.059332,0.094547,Pseudotomus_hians
22,1,5.852313,19195,19.195,1.114358,0.972045,1,1.463998,0.012196,0.008193,0.010158,0.015363,0.082153,0.054523,0.06283,0.134311,0.071372,0.047947,0.059448,0.089907,Pseudotomus_horribilis
23,1,6.517219,19219,19.219,1.130648,0.979712,1,1.730742,0.01236,0.007879,0.010165,0.017038,0.091486,0.060717,0.069969,0.149571,0.080554,0.051346,0.066248,0.11104,Pseudotomus_oweni
24,1,10.6105,19213,19.213,1.123814,0.888861,1,1.750739,0.012293,0.007717,0.010162,0.016948,0.148946,0.098852,0.113914,0.243512,0.130437,0.081881,0.107822,0.179832,Pseudotomus_petersoni
25,2,7.766762,18754,18.754,1.217298,1.146109,1,2.32542,0.013259,0.00811,0.010279,0.02551,0.109027,0.072358,0.083384,0.178248,0.10298,0.062985,0.079835,0.198131,"Rapamys_atramontis,Reithroparamys_delicatissimus"
26,1,14.99973,17841,17.841,1.110107,0.960535,1,1.583104,0.012203,0.008243,0.010182,0.016477,0.210561,0.139744,0.161037,0.344245,0.183045,0.123649,0.152727,0.247154,Rapamys_atramontis
27,1,4.959941,18703,18.703,1.197567,1.023028,1,2.03267,0.013164,0.008566,0.010254,0.021607,0.069626,0.046209,0.05325,0.113831,0.065294,0.042489,0.050859,0.107169,Reithroparamys_delicatissimus
28,6,14.868835,16835,16.835,1.134572,1.06987,1,1.686599,0.012497,0.008572,0.010221,0.017526,0.208723,0.138524,0.159632,0.341241,0.185817,0.127451,0.151974,0.260586,"Adapis_parisiensis,Microchoerus_erinaceus,Necrolemur_antiquus,Notharctus_tenebrosus,Rooneyia_viejaensis,Smilodectes_gracilis"
29,3,10.39126,18187,18.187,1.116631,0.971355,1,1.68213,0.012219,0.007993,0.010175,0.015657,0.145869,0.096809,0.111561,0.23848,0.126971,0.08306,0.105731,0.162701,"Microchoerus_erinaceus,Necrolemur_antiquus,Rooneyia_viejaensis"
30,1,7.805407,18342,18.342,1.125709,1.02041,1,1.65458,0.012432,0.008272,0.010176,0.018541,0.109569,0.072718,0.083799,0.179135,0.09704,0.064566,0.079428,0.144721,Rooneyia_viejaensis
31,2,5.746489,19753,19.753,1.180231,1.01214,1,2.406305,0.012973,0.006582,0.01022,0.03147,0.080667,0.053537,0.061694,0.131882,0.074547,0.037824,0.058729,0.180841,"Microchoerus_erinaceus,Necrolemur_antiquus"
32,1,4.888695,19542,19.542,1.158193,0.912861,1,1.875103,0.012682,0.008684,0.010206,0.018061,0.068626,0.045545,0.052485,0.112196,0.062001,0.042453,0.049893,0.088292,Necrolemur_antiquus
33,1,3.666024,19630,19.63,1.156228,0.991608,1,1.761921,0.012728,0.008849,0.010189,0.019499,0.051462,0.034154,0.039358,0.084136,0.046662,0.032441,0.037353,0.071485,Microchoerus_erinaceus
34,3,3.756608,18981,18.981,1.222536,0.951809,1,2.159601,0.013418,0.009126,0.010302,0.023148,0.052734,0.034998,0.040331,0.086214,0.050408,0.034283,0.038701,0.086959,"Adapis_parisiensis,Notharctus_tenebrosus,Smilodectes_gracilis"
35,1,17.16625,18086,18.086,1.130589,1.054882,1,1.560967,0.012386,0.008618,0.010244,0.015755,0.240973,0.159928,0.184297,0.393967,0.212617,0.147938,0.175851,0.270452,Adapis_parisiensis
36,2,2.350857,21055,21.055,1.366303,0.927797,1,2.74156,0.014871,0.009613,0.010441,0.028512,0.033,0.021902,0.025239,0.053952,0.034959,0.0226,0.024546,0.067027,"Notharctus_tenebrosus,Smilodectes_gracilis"
37,1,2.033847,19904,19.904,1.230625,0.909419,1,2.427985,0.013415,0.00927,0.01033,0.022245,0.02855,0.018948,0.021835,0.046677,0.027284,0.018853,0.02101,0.045243,Notharctus_tenebrosus
38,1,2.347549,20467,20.467,1.292094,1.199129,1,3.203779,0.013992,0.008171,0.010406,0.027242,0.032954,0.021871,0.025203,0.053876,0.032846,0.019183,0.024429,0.063952,Smilodectes_gracilis
