Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
69,46,1.272585,60708,60.708,4.56203,0.842776,1,13.749766,0.002504,0.001979,0.002068,0.003698,0.097664,0.005233,0.002092,0.398435,0.003187,0.002518,0.002632,0.004706,"Agriochoerus_sp.,Alcidedorbignya_inopinata,Anisonchus_sectorus,Arctocyon_primaevus,Arctocyonides_arenae,Bathygenys_reevesi,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Ectoconus_ditrigonus,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Leptolambda_schmidti,Leptotragulus_sp.,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Mouillacitherium_elegans,Oodectes_herpestoides,Pantolambda_bathmodon,Phenacodus_primaevus,Phenacodus_wortmani,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Robiacina_lavergnensis,Sinopa_lania,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Titanoides_primaevus,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp."
70,11,9.872557,60894,60.894,4.47823,1.197558,1,12.939885,0.002432,0.001866,0.002066,0.003334,0.757668,0.040597,0.01623,3.091011,0.024009,0.018419,0.020397,0.03291,"Cynohyaenodon_cayluxi,Dinictis_felina,Hyaenodon_horridus,Metacheiromys_marshi,Miacis_sylvestris,Oodectes_herpestoides,Prohesperocyon_wilsoni,Sinopa_lania,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
71,1,16.76965,60685,60.685,4.238331,1.032097,1,11.147209,0.002313,0.00197,0.00206,0.002495,1.286984,0.068959,0.027569,5.25043,0.038787,0.033032,0.034545,0.041834,Metacheiromys_marshi
72,10,4.567285,61592,61.592,4.640221,2.915017,1,17.450212,0.002503,0.001861,0.002074,0.003532,0.350516,0.018781,0.007509,1.429977,0.011434,0.008501,0.009471,0.01613,"Cynohyaenodon_cayluxi,Dinictis_felina,Hyaenodon_horridus,Miacis_sylvestris,Oodectes_herpestoides,Prohesperocyon_wilsoni,Sinopa_lania,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
73,7,4.347214,62050,62.05,4.512292,1.383116,1,11.721034,0.002472,0.002054,0.002079,0.003201,0.333626,0.017876,0.007147,1.361074,0.010745,0.008929,0.009037,0.013914,"Dinictis_felina,Miacis_sylvestris,Oodectes_herpestoides,Prohesperocyon_wilsoni,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
74,6,2.783153,63091,63.091,4.903302,0.643736,1,14.808872,0.002665,0.001913,0.002098,0.00391,0.213593,0.011445,0.004576,0.871381,0.007417,0.005325,0.005839,0.010881,"Dinictis_felina,Miacis_sylvestris,Oodectes_herpestoides,Prohesperocyon_wilsoni,Vulpavus_ovatus,Vulpavus_profectus"
75,5,1.8849,64305,64.305,5.072962,0.659363,1,15.70752,0.002769,0.002054,0.00212,0.004443,0.144656,0.007751,0.003099,0.590146,0.00522,0.003871,0.003996,0.008375,"Dinictis_felina,Miacis_sylvestris,Prohesperocyon_wilsoni,Vulpavus_ovatus,Vulpavus_profectus"
76,3,2.573161,70533,70.533,10.083892,8.661756,1.438584,48.555381,0.005551,0.002205,0.002299,0.010619,0.197477,0.010581,0.00423,0.805634,0.014283,0.005674,0.005915,0.027323,"Dinictis_felina,Miacis_sylvestris,Prohesperocyon_wilsoni"
77,2,8.517057,66310,66.31,5.498694,4.847597,1,28.691622,0.002992,0.001863,0.00214,0.005348,0.65364,0.035023,0.014002,2.666616,0.025487,0.015867,0.018229,0.045548,"Dinictis_felina,Prohesperocyon_wilsoni"
78,1,5.492608,66271,66.271,5.454851,0.893789,1,18.139228,0.002999,0.002055,0.002139,0.00591,0.421529,0.022586,0.00903,1.719687,0.016474,0.011286,0.011749,0.03246,Prohesperocyon_wilsoni
79,1,7.911529,66257,66.257,5.42724,2.658307,1,21.824602,0.003001,0.002634,0.002138,0.007762,0.607169,0.032533,0.013007,2.47703,0.023743,0.020836,0.016915,0.061406,Dinictis_felina
80,1,2.461254,66395,66.395,6.250891,1.189179,1,23.964573,0.003412,0.001838,0.002164,0.006244,0.188889,0.010121,0.004046,0.770597,0.008398,0.004524,0.005326,0.015369,Miacis_sylvestris
81,2,1.664924,70511,70.511,10.8658,4.193757,1.494428,48.764617,0.005977,0.0024,0.002306,0.013326,0.127774,0.006846,0.002737,0.521273,0.009952,0.003996,0.00384,0.022188,"Vulpavus_ovatus,Vulpavus_profectus"
82,1,1.619813,66690,66.69,6.709923,1.936976,1,27.048851,0.003708,0.001893,0.002178,0.00906,0.124312,0.006661,0.002663,0.507149,0.006005,0.003067,0.003529,0.014676,Vulpavus_ovatus
