Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
78,14,9.872557,99924,99.924,353.297002,-6.056416,237.224498,778.996265,22.321036,0.376288,20.288934,33.813009,1.22723,0.579945,0.764634,2.024828,220.365699,3.714927,200.303656,333.820861,"Cynohyaenodon_cayluxi,Dinictis_felina,Hyaenodon_horridus,Metacheiromys_marshi,Miacis_sylvestris,Oodectes_herpestoides,Prohesperocyon_wilsoni,Pterodon_dasyuroides,Sinopa_lania,Thinocyon_velox,Tritemnodon_agilis,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
79,1,16.76965,99920,99.92,347.184102,11.579294,236.126528,734.029118,21.943338,1.506509,20.228597,32.100961,2.084588,0.985101,1.298818,3.439398,367.982091,25.263622,339.226484,538.321888,Metacheiromys_marshi
80,13,4.567285,99958,99.958,417.128451,178.444361,262.12167,993.870282,26.58564,22.427453,21.591058,46.079522,0.567746,0.268296,0.353739,0.936735,121.424193,102.432568,98.612516,210.458309,"Cynohyaenodon_cayluxi,Dinictis_felina,Hyaenodon_horridus,Miacis_sylvestris,Oodectes_herpestoides,Prohesperocyon_wilsoni,Pterodon_dasyuroides,Sinopa_lania,Thinocyon_velox,Tritemnodon_agilis,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
81,7,4.347214,99966,99.966,423.495964,9.765922,262.72453,953.045089,27.266496,20.466291,21.60101,48.505667,0.54039,0.255369,0.336694,0.891599,118.533292,88.971347,93.904211,210.864513,"Dinictis_felina,Miacis_sylvestris,Oodectes_herpestoides,Prohesperocyon_wilsoni,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
82,6,2.783153,99974,99.974,467.599688,227.875812,266.742618,1367.781711,29.995438,24.358269,21.80639,61.370238,0.345966,0.163491,0.215557,0.570815,83.481894,67.79279,60.69052,170.802762,"Dinictis_felina,Miacis_sylvestris,Oodectes_herpestoides,Prohesperocyon_wilsoni,Vulpavus_ovatus,Vulpavus_profectus"
83,5,1.8849,99991,99.991,647.631862,801.206464,284.807829,3790.992049,41.066318,16.996078,22.760092,116.860774,0.234307,0.110725,0.145986,0.386587,77.405903,32.035907,42.900497,220.270872,"Dinictis_felina,Miacis_sylvestris,Prohesperocyon_wilsoni,Vulpavus_ovatus,Vulpavus_profectus"
84,3,2.573161,99998,99.998,2044.985781,244.561269,497.524006,6328.991016,130.384308,22.952606,34.647045,312.613307,0.319862,0.151155,0.199293,0.527747,335.499815,59.06075,89.152426,804.40437,"Dinictis_felina,Miacis_sylvestris,Prohesperocyon_wilsoni"
85,2,8.517057,100000,100,7136.045819,2755.140625,3713.861156,18669.9676,451.853099,186.061369,289.619459,763.270863,1.058731,0.500318,0.65965,1.746819,3848.458604,1584.695287,2466.705438,6500.821451,"Dinictis_felina,Prohesperocyon_wilsoni"
86,1,5.492608,100000,100,6124.270841,588.627657,3210.402817,17252.5869,381.439143,186.594148,255.248016,620.095022,0.682771,0.322653,0.425405,1.126515,2095.095686,1024.888511,1401.977297,3405.93888,Prohesperocyon_wilsoni
87,1,7.911529,100000,100,4906.652732,920.094652,2835.937822,11242.16581,306.9599,175.393458,230.71241,448.179058,0.98346,0.464748,0.612752,1.622628,2428.522149,1387.630431,1825.287923,3545.781614,Dinictis_felina
